web-scraper-order,web-scraper-start-url,kohteet,kohteet-href,tiedot
"1619175012-93","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/10735916","Automaatti"
"1619175007-79","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/11622625","Savonlinna, Etelä-Savo"
"1619175002-52","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/11924360","2012 (ensirek. 3-2012)"
"1619175017-123","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12078120","Ajoneuvovero: 291 €/Vuosi"
"1619174996-35","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12055855","22.04.2021 (72H)"
"1619175017-121","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12078120","Kulutus: 
Kaupunki: 11.1 l/100km
Maantie: 6.2 l/100km
Yhdistetty: 8.0 l/100km"
"1619175002-55","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/11924360","111 000 km"
"1619175030-181","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12029418","CO2 -päästöt: 190 g/km"
"1619175004-73","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12041434","Kulutus: 
Kaupunki: 9.3 l/100km
Maantie: 5.4 l/100km
Yhdistetty: 6.9 l/100km"
"1619174994-16","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/11923366","TZG-521"
